wgi_glacier_id, glacier_name, lat, lon, total_area, area_in_state, area_exp, mean_width, mean_length, mean_depth, max_length, max_length_abl, max_length_exp, num_basins, topo_scale, mean_elev, max_elev, min_elev, min_elev_exp, mean_elev_acc, snow_line_elev, mean_elev_abl, orientation_acc, orientation_abl, primary_class 
CA2N001CC738, ,57.428,-129.549,0.03,0.03,0.03,0.2, ,10,0.2,0.2, , , , ,1859,1768,1768,1814, , , SE, SE,7
CA2N001GM106, ,56.527,-131.175,0.05,0.05,0.05,0.2, ,10,0.2,0.2, , , , ,1575,1500,1500,1535, , , E, E,6
CA2O014AQ011, ,61.094,-139.605,0.17,0.17,0.17,0.7, , ,0.7, , , , , ,2800,2130,2130,2470, , , NW, NW,6
CA2N001EA501, ,57.827,-132.27,0.53,0.53,0.53,0.5, ,25,0.5,0.2,0.2, , , ,1722,1219,1219,1417, , , N, N,7
CA2O014AD030, ,61.573,-138.113, , , ,0.3, , , ,0.2,0.3, , , ,1340,1175, , , ,1220, , NE,9
CA2N003AG130, ,60.359,-136.824, , , ,0.6, , , ,0.2,0.6, , , ,930,845, , , ,855, , SE,0
CA2N001GJ289, ,56.866,-130.128,0.17,0.17,0.15,0.6, ,10,0.6, , , , , ,1920,1460,1460,1695, , , NW, NW,6
US2A00102014, ,68.217,-150.633,0.26,0.26, , , , ,1, , , ,63360, ,1890,1520, , , , , N, N,6
CA2N001EA391, ,57.859,-132.374,0.37,0.37,0.37, , ,10, ,0.2,0.1, , , ,1981,1372,1372,1722, , , NW, NW,6
CA2N001FA174, ,56.821,-131.934,0.01,0.01,0.01,0.3, ,10,0.3,0.2, , , , ,910,790,790,850, , , NW, NW,7
CA2N001AD400, ,57.539,-128.761,1.58,1.58,1.55,0.4, ,25,0.3,0.2,0.6, , , ,2379,1631,1649,2042,1798,1722, N, N,6
CA2N002EC061, ,59.767,-136.291, , , ,0.4, , , ,0.2,0.8, , , ,1780,1470,1490,1710,1620,1550, S, S,5
CA2N001GM126, ,56.472,-131.219,0.18,0.18,0.18,0.4, ,10,0.4,0.2, , , , ,1510,1360,1360,1470, , , SW, SW,7
